iR,R,x,eta,F,G,H,B,meanH,minF,maxF,residual
1,5.0000000000000003e-02,0.0000000000000000e+00,9.6193976625564337e-01,-9.2521789553480765e-04,-2.0634328576280708e-06,-1.5749281377326662e-03,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,9.7077203259151035e-01,-7.1054610295597724e-04,-1.5847859002399676e-06,-9.2881477587537873e-04,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,9.7847016786610441e-01,-5.2342282369235700e-04,-1.1674519356074267e-06,-5.0399405807788518e-04,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,9.8501562659727204e-01,-3.6430590657491761e-04,-8.1254718630543671e-07,-2.4413593614709588e-04,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,9.9039264020161522e-01,-2.3358476126291577e-04,-5.2097684770895942e-07,-1.0036243699914482e-04,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,9.9458825498239056e-01,-1.3157936445676218e-04,-2.9346273804708880e-07,-3.1845231526722379e-05,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,9.9759236333609846e-01,-5.8539441089852892e-05,-1.3055901124531055e-07,-6.3031324321198193e-06,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,9.9939772810258620e-01,-1.4643824955519805e-05,-3.2659417487065377e-08,-3.9442333852413048e-07,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
1,5.0000000000000003e-02,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
2,5.6100922715098173e-02,1.1512925464970229e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,-6.7255335197231466e-24,1.3352927861667334e-07,-2.6516251726256418e-01,-1.7944696311619591e-02,1.8017803726656764e-01,1.0602629885170245e-14
